gene,jw_id,medium,cluster,n_replicates,best_model,gr,N_max,lag,shape,aicc,converged
ytfJ,JW4175,LB,1,3,aHPM,1.4695459424472153,0.7340743345190625,49.99940954871044,0.3797169671995985,-86.89007065176808,true
yhhH,JW3449,LB,1,3,aHPM,1.4121018750954566,1.1878316037693395,49.999716028744665,0.3491745068599253,-128.07517618892217,true
cysC,JW2720,LB,1,3,gompertz,0.349545567126712,1.1974890120262764,NaN,NaN,-96.7445267030281,true
ydaE,JW1346,M63,1,3,aHPM,0.8026792064261299,0.9234714560960118,0.8398224294484034,0.4036699425146162,-125.96981532828457,true
dppF,JW3509,LB,1,3,aHPM,1.2183035626468515,1.1238477075961313,49.99744968959226,0.3695623374599913,-133.16532281029296,true
smf,JW5708,LB,1,3,aHPM,1.086142341158075,1.1176332797487256,49.99915888418703,0.4606863629245097,-126.16269494848856,true
yafD,JW5017,M63,1,3,aHPM,0.7718900199597697,0.7391904958954858,0.2683410081623379,0.4562281583381917,-113.52370632209166,true
ycdM,JW0997,M63,1,3,aHPM,0.5913463349387181,0.8878430258180816,0.328463933232929,0.8527623786425643,-133.8110455208315,true
ykfB,JW0239,M63,1,3,aHPM,0.9427931880688125,0.8089984586347727,0.27776968973245003,0.30814551326503703,-134.50537626364135,true
ygiL,JW3011,M63,1,3,aHPM,0.6950822879466637,1.0633138834353728,3.0019657385275247,0.570541709405929,-139.43403750110483,true
mppA,JW1322,LB,1,3,aHPM,1.3469507540695824,1.1540966039124572,49.99997992193305,0.3838886029559897,-96.03746217345034,true
yjdL,JW4091,M63,2,3,aHPM,0.6509971455170329,0.9832629634862634,1.2252116537167288,0.6706147486085181,-124.23575533271716,true
nth,JW1625,M63,1,3,aHPM,0.8122208510497902,0.7465307855079563,0.18987835090702615,0.4115169998470797,-141.03542911382667,true
yphD,JW2530,M63,1,3,aHPM,0.7079038289285948,0.841115189505188,0.370591625081008,0.6221160805518814,-111.49856854139493,true
cheZ,JW1870,M63,1,3,aHPM,0.5811982159444217,0.9019688630470595,0.5531305826916167,0.7379716167299295,-119.4069029878329,true
yebT,JW1823,LB,2,3,gompertz,0.25955750687335155,1.260887331308679,NaN,NaN,-132.85174061640333,true
hycE,JW2691,LB,1,3,aHPM,1.101419929831045,1.167054041196572,49.999927514137504,0.42289258696349014,-117.68834364686478,true
rpsU,JW3037,M63,2,3,aHPM,0.8121400267057095,1.0670797215817998,9.507641909893389,0.47837265418890396,-145.8148632293168,true
fpr,JW3895,M63,1,3,aHPM,0.8036143523691819,0.8841567100776718,0.25359760049875507,0.4199431386722616,-135.26600786289038,true
ydgR,JW1626,M63,1,3,aHPM,1.312683111698811,0.9510638444160983,0.8517948941431265,0.16035264439605873,-138.63829144875072,true
fdnG,JW1470,M63,2,3,baranyi_richards,0.8286577405651131,0.6431121076541445,8.065446640250666,2.93835684801691,-132.08223322297073,true
hcaT,JW2520,LB,2,3,aHPM,5.192898695656808,1.2821716776024512,1.6099578290409033,0.04100055976922164,-83.51452433341933,true
ybbA,JW0484,M63,1,3,aHPM,1.2033598636830574,0.8544598980192633,0.6745259662710168,0.16841837056821266,-161.0017621883259,true
