gene,medium,gr_loglin,gr_loglin_se,gr_max_sliding,t_exp_start,t_exp_end,doubling_time,R_squared,lag_loglin,N_max_emp,converged
ybgT,LB,0.8923681609601093,0.03020420745464803,1.0910056714304635,1.75,4.75,0.7767502370481038,0.9875548349514354,0.8697230066977583,1.0744266666666664,True
yffH,LB,1.0535282272557351,0.04388709645533876,1.4557940001317498,2.25,6.75,0.6579293868238137,0.9713447844355313,1.6184394067998027,1.1168999999999998,True
mdtH,LB,0.7450555232281518,0.024254534720816696,0.9724514876367647,2.0,6.25,0.9303295646433171,0.9833265162062707,1.2009450714964705,1.0840466666666666,True
yqjB,LB,0.9290236795580692,0.0383617096860073,1.282630695733285,2.0,6.5,0.7461028128902711,0.9718303330139539,1.7687620100436532,1.1052266666666666,True
yphF,LB,0.892113043946029,0.038741770089285726,1.2287460898651514,1.75,6.25,0.7769723638318187,0.9689355996833973,1.3805275606796066,1.1535199999999999,True
yliI,LB,0.7094823589998873,0.03670323771070696,1.0671319865730389,1.75,5.75,0.9769759202146073,0.9614056715050014,0.464162754043123,0.7562933333333333,True
yjbC,LB,0.7320767863874342,0.03883253198039834,1.134296076346394,1.75,5.75,0.9468230566091378,0.9595036362030869,0.5218768272429735,1.1340166666666667,True
yhbQ,LB,0.8670835763618988,0.046181359291098775,1.2525357948722005,1.75,6.0,0.7994006569334939,0.9565835419817572,0.9710180446731209,1.1683999999999999,True
yfjH,LB,0.9713011823088696,0.05061430859178149,1.4327415090343736,2.25,6.75,0.7136274444887142,0.9558746029140764,1.792557047138917,1.04874,True
yohL,LB,0.783122932025375,0.02634202178538381,1.0307556950047683,4.0,8.25,0.8851064784519498,0.9822185794461618,3.463172838184586,1.03416,True
yjjG,LB,0.6029299407980862,0.04194014235886914,1.0289027107173285,1.75,6.0,1.1496313811227228,0.9281442449246953,0.22155798300540222,1.1191766666666667,True
yifB,LB,1.0278205479931593,0.034778734035186665,1.3642166075060707,2.25,6.5,0.6743854089250594,0.9820100945000483,2.0615165451449804,1.03777,True
allD,LB,1.0912129263578205,0.04355821365416327,1.4372361188680849,3.5,7.5,0.6352080000312009,0.9766571168588739,3.124400193766248,0.75669,True
ydcQ,LB,0.7531546240796194,0.03303229035056424,1.1537130121386783,0.75,5.0,0.9203252006943391,0.9701417561119596,0.6216859020188795,1.0730166666666667,True
yeeX,LB,0.8657047574534713,0.03976480955259933,1.224737711477014,3.25,7.75,0.8006738724630372,0.9653739692183355,2.7808637098815496,1.0452833333333331,True
yfhR,LB,0.5720075595697809,0.022543935011139406,0.7845412669772224,2.75,7.25,1.2117797552907799,0.9742732104969962,1.964475834460601,1.243,True
yehK,LB,1.1099177819136228,0.03881515923760421,1.3576612326355761,2.25,5.75,0.624503176591046,0.984350011283261,1.771886251566601,1.08635,True
yeeS,LB,1.026836135003163,0.03775389427034706,1.379743951445687,3.0,7.5,0.6750319324882448,0.9775352003297914,2.857150639757408,0.88402,True
yjhR,LB,0.7339284662952819,0.05608406714028699,1.3277193673636343,1.75,6.0,0.9444342499192162,0.9145523562441933,-0.022941118853475998,0.7584299999999999,True
yliJ,LB,0.922697884530179,0.035657738816170806,1.2087550679540937,2.0,6.0,0.7512179145321042,0.9780891981657541,1.4517054198899169,0.7689333333333332,True
ygeA,LB,0.7504754386866335,0.029996421957676694,1.0080630617144537,3.0,7.25,0.9236107470392165,0.9750756279384444,2.3078312913350953,0.91434,True
ydcR,LB,0.6296889880787809,0.02519252064597732,0.8679050256782956,2.25,6.5,1.1007770402254915,0.9750294131560696,2.4462572659485375,1.0406316666666666,True
ybgF,LB,0.7749447356426581,0.031172064637462266,1.0506786061595812,1.75,5.75,0.8944472407895274,0.9763044816535763,0.8575967497800102,1.0605699999999998,True
agaR,LB,0.6858613349750554,0.027026423517693327,0.968338608004655,1.75,6.25,1.010622913427763,0.9742819467102297,0.9778429550444342,1.1583733333333335,True
ycgI,LB,0.7911363875495454,0.04127237964287715,1.2053993832517753,1.75,4.75,0.8761411957132821,0.970933127611736,0.12429110676215635,1.1135133333333334,True
ygeG,LB,0.8940592121202205,0.031952160749201174,1.1105083254027375,2.0,5.25,0.7752810677004026,0.9849046449665515,1.1663479640502528,1.1236399999999998,True
ydjA,LB,0.6021856574580002,0.030410797448874982,0.926350787234181,1.75,5.75,1.1510522908930112,0.9631546989749292,0.35036346732960555,1.0931000000000002,True
yhaV,LB,0.5986749228750075,0.04783292554336783,1.1948583340416188,1.75,6.0,1.1578022630900509,0.9073265451898598,-0.6174198542486788,1.18826,True
ymgF,LB,0.69178134033143,0.042455008167354515,1.1700792837451235,1.75,4.75,1.0019743814250048,0.960218344298186,-0.1501562347432894,1.1327266666666667,True
yadS,LB,0.6004679545752739,0.016744190224780978,0.7757469673579094,2.75,7.0,1.1543449992268542,0.9877115042691285,2.3650873535081285,1.095295,True
ydfQ,LB,1.0499619166982272,0.037727140344337905,1.3642679052467068,3.25,7.25,0.6601641159897086,0.98100140135799,2.9675839867654776,1.13079,True
ompL,LB,0.5479947761054023,0.030411697116517488,0.8010987529168857,2.0,5.75,1.2648791754661255,0.9586645034777067,1.6881938686400326,0.7408233333333333,True
yecE,LB,1.169666110692645,0.03168421286295099,1.3064262091431167,2.75,4.75,0.5926026019078916,0.9948898333488398,1.694047489562822,0.7752666666666667,True
ygaC,LB,0.6774612325609383,0.041511605533425686,1.018489837377424,1.75,5.0,1.0231540156766035,0.9568866369331661,1.2052686955693301,1.11652,True
ycaD,LB,0.8415302792066918,0.03104051471184193,1.0843512026765212,2.0,6.0,0.8236746765824912,0.9799997439600066,2.170046886612843,0.8885333333333334,True
dacB,LB,0.7444261370501406,0.03460967435738922,1.0729723737057149,1.75,6.25,0.9311161256462689,0.9645571461037165,1.0980586602882012,1.1127233333333333,True
yjiR,LB,0.566389404391629,0.0421883687338794,1.0980498131309449,1.75,6.0,1.2237996953782522,0.918466078713398,-0.2601103713405728,1.2526499999999998,True
yidA,LB,0.7661854414462719,0.030870389959864193,1.0575538007290626,2.5,6.75,0.9046728677740762,0.9746837061045392,1.9683857860170966,0.7424099999999999,True
yciU,LB,0.7918877817189577,0.029924633044364275,1.0759221165866555,5.25,9.75,0.8753098564740128,0.976299240917149,5.174414382652214,1.1565699999999997,True
yfcD,LB,0.7289991735530391,0.03584123542600167,1.1225678632170966,1.75,6.0,0.950820255641229,0.9627649349148824,0.3136768787359663,1.1503133333333335,True
yeaL,LB,0.771678673842091,0.03385656272431224,1.0899259250179447,3.5,8.0,0.8982329097017191,0.96831326194268,3.2001640604624155,1.0968,True
ycjQ,LB,0.9181124064319427,0.038403367387152436,1.2441595391614546,1.75,6.0,0.7549698443284532,0.9727682060525213,1.1971621668699448,0.7320933333333333,True
yoaF,LB,0.7626746827288903,0.05189479582755564,1.3422152041124518,1.75,6.0,0.9088372752584734,0.9310311256208974,0.03309494366261938,1.106313333333333,True
folM,LB,1.1294639025971702,0.037634335745039216,1.426965743325583,3.0,7.0,0.6136957356194147,0.9836189422370314,2.7214657499252475,1.1432800000000003,True
argG,LB,1.0042735288090276,0.03350254074773426,1.2269970003605724,3.75,7.0,0.6901976012271792,0.98682134053453,4.013897314156768,1.16464,True
ivy,LB,0.6617120326089246,0.041583742930648704,1.3283027686325108,1.75,6.0,1.0475057825789893,0.9405681380776724,-0.7191735582402048,1.0993466666666665,True
ydjO,LB,0.8789047792967162,0.023600748382185323,1.0382043169102975,2.75,6.0,0.7886487784428584,0.9914215759728786,1.9686416335723584,1.17836,True
yafJ,LB,0.6037299687315967,0.03847306116144726,1.1864459261600273,1.75,5.5,1.1481079563040564,0.9462050727394741,-0.48578593126089625,1.1265933333333331,True
yeeD,LB,0.784188711746021,0.03364890100723384,1.1200672499887294,2.25,6.75,0.8839035428304383,0.9696496053566958,3.442212807927661,1.0690399999999998,True
rnb,LB,0.999137836779582,0.027010254688315378,1.2119130719179072,4.5,8.5,0.6937453022438778,0.9891566646920986,4.201742792399112,1.0148899999999998,True
insO,LB,0.6749589457333087,0.04262524152157016,1.2954411642230315,1.75,6.0,1.0269471720341095,0.9400161563898997,-0.4998058545352979,1.1440533333333331,True
