gene,in_screen,non_growing_m63,amino_acid_biosynthesis_eco01230,wider_biosynthesis_set,in_eco01230,in_eco01240,in_eco00230,in_eco00240
blc,True,False,False,False,False,False,False,False
blr,True,False,False,False,False,False,False,False
bola,True,False,False,False,False,False,False,False
bord,True,False,False,False,False,False,False,False
brnq,True,False,False,False,False,False,False,False
btub,True,False,False,False,False,False,False,False
btuc,True,False,False,False,False,False,False,False
btud,True,False,False,False,False,False,False,False
btue,True,False,False,False,False,False,False,False
btuf,True,False,False,False,False,False,False,False
btur,True,False,False,True,False,True,False,False
cada,True,False,False,False,False,False,False,False
cadb,True,False,False,False,False,False,False,False
cadc,True,False,False,False,False,False,False,False
caia,True,False,False,False,False,False,False,False
caib,True,False,False,False,False,False,False,False
caic,True,False,False,False,False,False,False,False
caid,True,False,False,False,False,False,False,False
caie,True,False,False,False,False,False,False,False
caif,True,False,False,False,False,False,False,False
cait,True,False,False,False,False,False,False,False
cara,True,True,False,True,False,True,False,True
carb,True,True,False,True,False,True,False,True
cbl,True,False,False,False,False,False,False,False
cbpa,True,False,False,False,False,False,False,False
cbpm,True,False,False,False,False,False,False,False
cbra,True,False,False,False,False,False,False,False
cbrc,True,False,False,False,False,False,False,False
ccha,True,False,False,False,False,False,False,False
cchb,True,False,False,False,False,False,False,False
ccma,True,False,False,False,False,False,False,False
ccmb,True,False,False,False,False,False,False,False
ccmc,True,False,False,False,False,False,False,False
ccmd,True,False,False,False,False,False,False,False
ccme,True,False,False,False,False,False,False,False
ccmf,True,False,False,False,False,False,False,False
ccmg,True,False,False,False,False,False,False,False
ccmh,True,False,False,False,False,False,False,False
cdar,True,False,False,False,False,False,False,False
cdd,True,False,False,True,False,False,False,True
cdh,True,False,False,False,False,False,False,False
ceda,True,False,False,False,False,False,False,False
cfa,True,False,False,False,False,False,False,False
chaa,True,False,False,False,False,False,False,False
chab,True,False,False,False,False,False,False,False
chac,True,False,False,False,False,False,False,False
chba,True,False,False,False,False,False,False,False
chbb,True,False,False,False,False,False,False,False
chbc,True,False,False,False,False,False,False,False
chbf,True,False,False,False,False,False,False,False
chbg,True,False,False,False,False,False,False,False
chbr,True,False,False,False,False,False,False,False
chea,True,False,False,False,False,False,False,False
cheb,True,False,False,False,False,False,False,False
cher,True,False,False,False,False,False,False,False
chew,True,False,False,False,False,False,False,False
chey,True,False,False,False,False,False,False,False
chez,True,False,False,False,False,False,False,False
chia,True,False,False,False,False,False,False,False
chpa,True,False,False,False,False,False,False,False
chpb,True,False,False,False,False,False,False,False
cira,True,False,False,False,False,False,False,False
cita,True,False,False,False,False,False,False,False
citb,True,False,False,False,False,False,False,False
citc,True,False,False,False,False,False,False,False
citd,True,False,False,False,False,False,False,False
cite,True,False,False,False,False,False,False,False
