gene,jw_id,medium,n_replicates
sbcD,JW0388,LB,3
sbcD,JW0388,M63,3
sbmA,JW0368,LB,3
sbmA,JW0368,M63,3
sbmC,JW1991,LB,3
sbmC,JW1991,M63,3
sbp,JW3888,LB,3
sbp,JW3888,M63,3
sdaA,JW1803,LB,3
sdaA,JW1803,M63,3
sdaB,JW2768,LB,3
sdaB,JW2768,M63,3
sdaC,JW2767,LB,3
sdaC,JW2767,M63,3
sdhA,JW0713,LB,3
sdhA,JW0713,M63,3
sdhB,JW0714,LB,3
sdhB,JW0714,M63,3
sdhC,JW0711,LB,3
sdhC,JW0711,M63,3
sdhD,JW0712,LB,3
sdhD,JW0712,M63,3
sdiA,JW1901,LB,3
sdiA,JW1901,M63,3
secB,JW3584,LB,3
secB,JW3584,M63,3
secG,JW3142,LB,3
secG,JW3142,M63,3
selA,JW3564,LB,3
selA,JW3564,M63,3
selB,JW3563,LB,3
selB,JW3563,M63,3
selD,JW1753,LB,3
selD,JW1753,M63,3
seqA,JW0674,LB,3
seqA,JW0674,M63,3
serA,JW2880,LB,3
serA,JW2880,M63,3
serB,JW4351,LB,3
serB,JW4351,M63,3
serC,JW0890,LB,3
serC,JW0890,M63,3
setA,JW0069,LB,3
setA,JW0069,M63,3
setB,JW2157,LB,3
setB,JW2157,M63,3
setC,JW3633,LB,3
setC,JW3633,M63,3
sfcA,JW5238,LB,3
sfcA,JW5238,M63,3
sfmA,JW0519,LB,3
sfmA,JW0519,M63,3
sfmC,JW0520,LB,3
sfmC,JW0520,M63,3
sfmD,JW0521,LB,3
sfmD,JW0521,M63,3
sfmF,JW5072,LB,3
sfmF,JW5072,M63,3
sfmH,JW5071,LB,3
sfmH,JW5071,M63,3
sfsA,JW0142,LB,3
sfsA,JW0142,M63,3
sfsB,JW3155,LB,3
sfsB,JW3155,M63,3
sgbE,JW3555,LB,3
sgbE,JW3555,M63,3
sgbH,JW3553,LB,3
sgbH,JW3553,M63,3
sgbU,JW5650,LB,3
sgbU,JW5650,M63,3
sgcA,JW4264,LB,3
sgcA,JW4264,M63,3
sgcB,JW5967,LB,3
sgcB,JW5967,M63,3
sgcC,JW4266,LB,3
sgcC,JW4266,M63,3
sgcE,JW4263,LB,3
sgcE,JW4263,M63,3
sgcQ,JW4265,LB,3
sgcQ,JW4265,M63,3
sgcR,JW4262,LB,3
sgcR,JW4262,M63,3
sgcX,JW5776,LB,3
sgcX,JW5776,M63,3
sgrR,JW0068,LB,3
sgrR,JW0068,M63,3
shiA,JW1962,LB,3
shiA,JW1962,M63,3
sieB,JW5209,LB,3
sieB,JW5209,M63,3
sixA,JW2337,LB,3
sixA,JW2337,M63,3
slp,JW3474,LB,3
slp,JW3474,M63,3
slt,JW4355,LB,3
slt,JW4355,M63,3
slyA,JW5267,LB,3
slyA,JW5267,M63,3
slyB,JW1633,LB,3
slyB,JW1633,M63,3
slyD,JW3311,LB,3
slyD,JW3311,M63,3
slyX,JW3310,LB,3
slyX,JW3310,M63,3
smf,JW5708,LB,3
smf,JW5708,M63,3
smg,JW3245,LB,3
smg,JW3245,M63,3
smpA,JW2598,LB,3
smpA,JW2598,M63,3
smpB,JW2601,LB,3
smpB,JW2601,M63,3
smtA,JW0904,LB,3
smtA,JW0904,M63,3
sodA,JW3879,LB,3
sodA,JW3879,M63,3
sodB,JW1648,LB,3
sodB,JW1648,M63,3
sodC,JW1638,LB,3
sodC,JW1638,M63,3
sohA,JW3098,LB,3
sohA,JW3098,M63,3
sohB,JW1264,LB,3
sohB,JW1264,M63,3
solA,JW1046,LB,3
solA,JW1046,M63,3
soxR,JW4024,LB,3
soxR,JW4024,M63,3
soxS,JW4023,LB,3
soxS,JW4023,M63,3
speA,JW2905,LB,3
speA,JW2905,M63,3
speB,JW2904,LB,3
speB,JW2904,M63,3
speC,JW5482,LB,3
speC,JW5482,M63,3
speD,JW0116,LB,3
speD,JW0116,M63,3
speE,JW0117,LB,3
speE,JW0117,M63,3
speF,JW0680,LB,3
speF,JW0680,M63,3
speG,JW1576,LB,3
speG,JW1576,M63,3
sppA,JW1755,LB,3
sppA,JW1755,M63,3
spr,JW2163,LB,3
spr,JW2163,M63,3
sprT,JW2911,LB,3
sprT,JW2911,M63,3
spy,JW1732,LB,3
spy,JW1732,M63,3
sra,JW5962,LB,3
sra,JW5962,M63,3
srlA,JW5429,LB,3
srlA,JW5429,M63,3
srlB,JW2673,LB,3
srlB,JW2673,M63,3
srlD,JW2674,LB,3
srlD,JW2674,M63,3
srlE,JW5430,LB,3
srlE,JW5430,M63,3
srlR,JW2676,LB,3
srlR,JW2676,M63,3
srmB,JW2560,LB,3
srmB,JW2560,M63,3
sseA,JW2505,LB,3
sseA,JW2505,M63,3
sseB,JW5404,LB,3
sseB,JW5404,M63,3
ssnA,JW2847,LB,3
ssnA,JW2847,M63,3
sspA,JW3198,LB,3
sspA,JW3198,M63,3
sspB,JW3197,LB,3
sspB,JW3197,M63,3
sstT,JW3060,LB,3
sstT,JW3060,M63,3
ssuA,JW0919,LB,3
ssuA,JW0919,M63,3
ssuB,JW0916,LB,3
ssuB,JW0916,M63,3
ssuC,JW5121,LB,3
ssuC,JW5121,M63,3
ssuD,JW0918,LB,3
ssuD,JW0918,M63,3
ssuE,JW0920,LB,3
ssuE,JW0920,M63,3
stfE,JW5172,LB,3
stfE,JW5172,M63,3
stfQ,JW1540,LB,3
stfQ,JW1540,M63,3
stfR,JW1366,LB,3
stfR,JW1366,M63,3
sthA,JW5551,LB,3
sthA,JW5551,M63,3
stpA,JW2644,LB,3
stpA,JW2644,M63,3
sucA,JW0715,LB,3
sucA,JW0715,M63,3
sucB,JW0716,LB,3
sucB,JW0716,M63,3
sucC,JW0717,LB,3
sucC,JW0717,M63,3
sucD,JW0718,LB,3
sucD,JW0718,M63,3
sufA,JW1674,LB,3
sufA,JW1674,M63,3
sufB,JW5273,LB,3
sufB,JW5273,M63,3
sufC,JW1672,LB,3
sufC,JW1672,M63,3
sufD,JW1671,LB,3
sufD,JW1671,M63,3
sufE,JW1669,LB,3
sufE,JW1669,M63,3
sufI,JW2985,LB,3
sufI,JW2985,M63,3
sufS,JW1670,LB,3
sufS,JW1670,M63,3
sugE,JW5738,LB,3
sugE,JW5738,M63,3
sulA,JW0941,LB,3
sulA,JW0941,M63,3
surA,JW0052,LB,3
surA,JW0052,M63,3
surE,JW2714,LB,3
surE,JW2714,M63,3
syd,JW2764,LB,3
syd,JW2764,M63,3
tag,JW3518,LB,3
tag,JW3518,M63,3
talA,JW2448,LB,3
talA,JW2448,M63,3
talB,JW0007,LB,3
talB,JW0007,M63,3
tam,JW1512,LB,3
tam,JW1512,M63,3
tap,JW1874,LB,3
tap,JW1874,M63,3
tar,JW1875,LB,3
tar,JW1875,M63,3
tas,JW2802,LB,3
tas,JW2802,M63,3
tatA,JW3813,LB,3
tatA,JW3813,M63,3
tatB,JW5580,LB,3
tatB,JW5580,M63,3
tatC,JW3815,LB,3
tatC,JW3815,M63,3
tatD,JW5931,LB,3
tatD,JW5931,M63,3
tatE,JW0622,LB,3
tatE,JW0622,M63,3
tauA,JW0357,LB,3
tauA,JW0357,M63,3
tauB,JW0358,LB,3
tauB,JW0358,M63,3
tauC,JW0359,LB,3
tauC,JW0359,M63,3
tauD,JW0360,LB,3
tauD,JW0360,M63,3
tbpA,JW0067,LB,3
tbpA,JW0067,M63,3
tdcA,JW3089,LB,3
tdcA,JW3089,M63,3
tdcB,JW3088,LB,3
tdcB,JW3088,M63,3
tdcC,JW3087,LB,3
tdcC,JW3087,M63,3
tdcD,JW5806,LB,3
tdcD,JW5806,M63,3
tdcE,JW5522,LB,3
tdcE,JW5522,M63,3
tdcG,JW5520,LB,3
tdcG,JW5520,M63,3
tdcR,JW5525,LB,3
tdcR,JW5525,M63,3
tdh,JW3591,LB,3
tdh,JW3591,M63,3
tdk,JW1226,LB,3
tdk,JW1226,M63,3
tehA,JW1425,LB,3
tehA,JW1425,M63,3
tehB,JW1426,LB,3
tehB,JW1426,M63,3
tesA,JW0483,LB,3
tesA,JW0483,M63,3
tesB,JW0442,LB,3
tesB,JW0442,M63,3
tfaD,JW5815,LB,3
tfaD,JW5815,M63,3
tfaE,JW1142,LB,3
tfaE,JW1142,M63,3
tfaQ,JW1539,LB,3
tfaQ,JW1539,M63,3
tfaR,JW1367,LB,3
tfaR,JW1367,M63,3
tfaS,JW5383,LB,3
tfaS,JW5383,M63,3
tgt,JW0396,LB,3
tgt,JW0396,M63,3
thiC,JW3958,LB,3
thiC,JW3958,M63,3
thiD,JW2090,LB,3
thiD,JW2090,M63,3
thiE,JW3957,LB,3
thiE,JW3957,M63,3
thiF,JW3956,LB,3
thiF,JW3956,M63,3
thiG,JW5549,LB,3
thiG,JW5549,M63,3
thiH,JW3953,LB,3
thiH,JW3953,M63,3
thiI,JW0413,LB,3
thiI,JW0413,M63,3
thiM,JW2091,LB,3
thiM,JW2091,M63,3
thiP,JW0066,LB,3
thiP,JW0066,M63,3
thiQ,JW0065,LB,3
thiQ,JW0065,M63,3
thiS,JW3955,LB,3
thiS,JW3955,M63,3
thrA,JW0001,LB,3
thrA,JW0001,M63,3
thrB,JW0002,LB,3
thrB,JW0002,M63,3
thrC,JW0003,LB,3
thrC,JW0003,M63,3
thrL,JW4367,LB,3
thrL,JW4367,M63,3
thyA,JW2795,LB,3
thyA,JW2795,M63,3
tiaE,JW5656,LB,3
tiaE,JW5656,M63,3
tig,JW0426,LB,3
tig,JW0426,M63,3
tktA,JW5478,LB,3
tktA,JW5478,M63,3
tktB,JW2449,LB,3
tktB,JW2449,M63,3
tldD,JW3213,LB,3
tldD,JW3213,M63,3
tnaA,JW3686,LB,3
tnaA,JW3686,M63,3
tnaB,JW5619,LB,3
tnaB,JW5619,M63,3
tnaC,JW3685,LB,3
tnaC,JW3685,M63,3
tolA,JW0729,LB,3
tolA,JW0729,M63,3
tolB,JW5100,LB,3
tolB,JW5100,M63,3
tolC,JW5503,LB,3
tolC,JW5503,M63,3
tolQ,JW0727,LB,3
tolQ,JW0727,M63,3
tolR,JW0728,LB,3
tolR,JW0728,M63,3
tonB,JW5195,LB,3
tonB,JW5195,M63,3
topB,JW1752,LB,3
topB,JW1752,M63,3
torA,JW0982,LB,3
torA,JW0982,M63,3
torC,JW0981,LB,3
torC,JW0981,M63,3
torD,JW0983,LB,3
torD,JW0983,M63,3
torI,JW5387,LB,3
